RegionID,GenDate,Source,GeneratedMWh,InstalledCapacityMW,CapacityFactorPct
10186,2025-06-21,Wind,87.42,175.83,2.07
10146,2023-11-21,Wind,65.08,104.47,2.6
10098,2022-05-28,Solar,52.32,275.64,0.79
10062,2024-12-09,Solar,30.34,239.25,0.53
10028,2023-11-16,Solar,65.45,72.05,3.78
10196,2022-10-28,Solar,68.77,45.56,6.29
10123,2024-07-25,Wind,91.03,299.11,1.27
10173,2023-09-13,Solar,84.52,142.88,2.46
10215,2024-01-02,Solar,37.56,248.57,0.63
10132,2022-03-08,Solar,31.76,70.81,1.87
10168,2023-01-19,Wind,115.95,270.58,1.79
10083,2023-04-18,Solar,45.25,159.8,1.18
10159,2023-06-10,Solar,40.17,222.98,0.75
10018,2022-05-25,Wind,105.66,218.14,2.02
10007,2024-05-17,Solar,40.17,76.1,2.2
10134,2022-08-12,Wind,107.83,258.74,1.74
10100,2023-11-21,Solar,66.79,296.65,0.94
10237,2024-02-13,Solar,80.58,180.56,1.86
10168,2024-12-05,Solar,52.08,145.81,1.49
10217,2025-04-16,Wind,56.33,157.16,1.49
10085,2023-03-11,Solar,17.48,149.16,0.49
10184,2023-04-02,Solar,51.55,58.38,3.68
10219,2024-08-02,Solar,29.45,78.49,1.56
10179,2023-10-30,Solar,61.61,161.65,1.59
10208,2022-04-29,Solar,82.8,102.74,3.36
10155,2022-04-14,Solar,93.11,276.35,1.4
10056,2024-06-28,Solar,46.77,93.57,2.08
10045,2022-12-18,Solar,56.36,126.32,1.86
10147,2023-05-28,Wind,104.52,211.35,2.06
10054,2023-05-19,Solar,18.43,195.51,0.39
10071,2022-05-08,Solar,96.77,206.17,1.96
10037,2025-01-31,Solar,57.36,221.74,1.08
10038,2025-03-21,Solar,82.31,99.89,3.43
10191,2024-09-13,Solar,1.0,120.37,0.03
10011,2022-04-09,Solar,80.93,180.57,1.87
10003,2023-10-26,Solar,83.12,27.21,12.73
10105,2024-09-12,Solar,46.09,106.65,1.8
10181,2025-03-03,Solar,89.92,155.73,2.41
10082,2025-09-18,Solar,16.9,56.54,1.25
10028,2025-04-13,Solar,28.38,146.07,0.81
10042,2023-05-15,Wind,74.6,290.03,1.07
10000,2024-05-31,Wind,82.35,162.62,2.11
10054,2022-05-28,Solar,32.66,27.69,4.91
10165,2023-09-29,Solar,58.93,227.41,1.08
10120,2025-09-11,Solar,70.8,166.65,1.77
10003,2025-07-04,Solar,35.51,228.95,0.65
10037,2023-10-27,Solar,87.56,233.51,1.56
10176,2023-01-05,Solar,39.9,279.48,0.59
10149,2024-04-01,Solar,47.76,251.0,0.79
