RegionID,Timestamp,LoadMW,UtilizationPct,TransformerCount,LossesPct
10216,2023-05-17 05:00:00,61.66,39,10,6.9
10051,2025-03-13 12:00:00,47.04,57,7,10.07
10239,2023-10-31 10:00:00,78.65,71,5,6.66
10020,2022-01-14 23:00:00,69.25,49,21,8.53
10158,2022-10-24 13:00:00,120.21,100,20,7.49
10138,2023-06-30 00:00:00,78.57,100,17,1.0
10060,2023-07-03 22:00:00,58.54,51,17,1.86
10201,2024-03-12 05:00:00,111.61,78,18,5.87
10160,2022-10-14 10:00:00,92.08,74,25,11.43
10040,2023-09-12 14:00:00,106.15,98,21,6.17
10167,2023-04-25 15:00:00,76.24,65,13,8.26
10002,2025-07-24 00:00:00,69.17,72,7,6.16
10137,2023-11-17 06:00:00,33.82,49,21,3.06
10237,2023-02-07 17:00:00,57.65,62,19,6.04
10044,2024-04-06 00:00:00,56.98,60,21,8.4
10175,2024-01-17 13:00:00,45.34,51,8,9.78
10186,2025-01-02 04:00:00,60.13,83,20,7.86
10045,2022-04-07 18:00:00,72.32,120,22,11.07
10072,2024-04-04 12:00:00,11.33,10,25,7.67
10078,2022-04-27 01:00:00,41.88,38,16,10.48
10023,2023-04-05 14:00:00,64.66,43,6,7.93
10026,2024-10-14 08:00:00,54.58,101,28,6.6
10063,2024-06-23 15:00:00,74.83,56,18,6.39
10140,2025-06-17 23:00:00,78.6,70,23,8.28
10005,2025-08-10 19:00:00,96.33,66,7,9.61
10164,2025-07-29 07:00:00,72.98,64,16,3.85
10051,2022-10-01 08:00:00,76.15,101,25,11.63
10018,2023-12-04 02:00:00,97.83,90,24,6.15
10061,2025-05-14 08:00:00,76.47,52,29,4.61
10069,2023-08-24 13:00:00,55.25,60,16,4.07
10013,2025-08-01 09:00:00,43.44,81,14,7.33
10062,2023-12-14 09:00:00,30.97,42,12,6.4
10109,2025-02-01 14:00:00,25.32,42,8,6.44
10080,2025-08-29 10:00:00,41.65,26,21,7.06
10088,2024-09-07 11:00:00,72.05,62,19,8.88
10204,2023-03-14 22:00:00,60.74,109,22,6.02
10124,2025-08-05 03:00:00,52.72,43,10,5.41
10116,2024-06-16 06:00:00,58.11,91,18,5.48
10058,2025-09-15 16:00:00,97.44,73,21,4.14
10095,2024-12-21 15:00:00,72.85,45,14,4.6
10191,2024-07-05 11:00:00,54.51,115,26,6.55
10227,2022-02-11 11:00:00,122.19,114,6,5.94
10170,2024-01-02 08:00:00,72.24,60,9,5.5
10103,2024-01-23 11:00:00,40.36,71,23,3.81
10165,2023-10-25 01:00:00,57.76,49,17,6.21
10094,2022-07-15 14:00:00,91.41,52,23,8.14
10200,2022-10-08 13:00:00,72.18,71,20,6.59
10187,2022-09-26 09:00:00,95.46,101,23,6.26
10008,2024-01-16 21:00:00,42.69,28,15,4.74
10006,2023-04-27 20:00:00,111.03,100,27,7.95
10163,2025-01-30 09:00:00,22.47,28,11,5.33
10059,2024-11-04 22:00:00,89.85,88,28,6.01
10037,2025-06-24 22:00:00,52.55,68,25,6.4
10184,2024-02-15 10:00:00,66.63,58,19,5.1
10154,2025-04-28 15:00:00,38.55,83,24,7.25
10047,2025-04-28 23:00:00,73.74,81,11,5.63
10072,2025-08-21 21:00:00,54.96,32,20,5.41
10130,2022-03-17 04:00:00,88.88,69,29,7.86
10089,2022-05-03 16:00:00,100.92,80,22,9.35
10187,2024-08-09 07:00:00,76.15,75,13,5.3
10239,2023-01-26 21:00:00,72.98,64,26,8.1
10002,2022-01-27 11:00:00,74.88,58,5,7.85
10162,2024-03-06 07:00:00,37.16,51,12,3.65
10093,2025-08-26 08:00:00,79.22,114,5,6.47
10079,2023-01-14 19:00:00,66.74,50,17,8.6
10144,2024-04-23 18:00:00,22.02,32,15,4.36
10207,2024-03-16 05:00:00,66.8,53,6,5.03
10071,2022-02-05 12:00:00,32.33,56,9,8.88
10055,2022-10-14 18:00:00,85.8,82,15,5.72
10209,2023-05-02 04:00:00,60.25,84,9,7.55
10006,2023-08-17 06:00:00,94.49,90,8,4.24
10090,2023-09-09 02:00:00,85.76,90,14,9.44
10026,2023-08-20 22:00:00,48.91,92,24,13.49
10186,2025-05-25 14:00:00,80.71,91,11,4.1
10209,2025-07-23 21:00:00,25.44,35,27,8.45
10044,2025-03-18 20:00:00,45.21,72,26,6.0
10238,2023-11-26 03:00:00,103.75,67,21,6.26
10015,2024-06-12 00:00:00,82.72,67,17,11.05
10052,2023-11-02 16:00:00,42.0,36,19,6.48
10100,2024-11-07 22:00:00,55.24,53,17,7.36
10094,2023-12-18 05:00:00,61.06,55,20,6.29
10061,2024-03-03 01:00:00,72.63,44,24,6.29
10066,2022-05-20 22:00:00,35.41,68,9,7.6
10000,2025-08-12 11:00:00,80.01,64,27,3.87
10114,2025-07-31 15:00:00,109.99,90,22,3.97
10016,2023-02-24 18:00:00,81.39,120,25,8.42
10212,2024-09-29 15:00:00,86.7,104,20,6.85
10083,2025-04-07 01:00:00,53.1,36,18,4.2
10069,2025-02-16 22:00:00,56.72,87,24,6.79
10100,2025-01-04 08:00:00,103.26,76,27,6.36
10016,2023-09-28 08:00:00,72.0,120,24,4.71
10198,2023-09-11 05:00:00,89.65,51,19,6.29
10097,2022-02-03 02:00:00,38.74,44,6,5.59
10002,2023-02-25 08:00:00,118.73,89,22,9.14
10150,2023-12-25 11:00:00,74.97,63,9,8.91
10114,2025-07-09 15:00:00,69.89,58,16,2.75
10052,2024-12-21 03:00:00,58.79,78,8,1.21
10012,2023-07-27 03:00:00,64.92,85,15,7.03
10117,2022-04-12 23:00:00,67.97,86,26,10.1
10100,2023-05-01 08:00:00,85.55,72,9,6.83
10209,2024-02-21 02:00:00,46.59,67,7,9.01
10188,2022-05-20 06:00:00,26.74,26,23,9.04
10062,2023-08-27 09:00:00,78.33,71,17,6.7
10239,2023-01-03 17:00:00,80.51,52,15,7.12
10229,2022-08-03 08:00:00,114.34,85,22,7.65
10026,2022-02-17 23:00:00,31.85,57,29,10.13
10203,2024-09-05 21:00:00,24.87,35,19,7.8
10113,2025-06-08 19:00:00,63.07,55,11,9.11
10044,2024-03-31 16:00:00,48.24,55,13,5.48
10062,2025-05-22 18:00:00,25.81,30,13,7.59
10119,2023-01-25 09:00:00,84.43,69,14,6.28
10197,2022-07-18 11:00:00,47.21,83,14,5.79
10038,2024-11-18 10:00:00,82.63,54,10,6.86
10220,2025-02-07 00:00:00,54.99,89,27,7.28
10040,2023-04-18 21:00:00,85.74,69,8,8.69
10174,2023-07-17 16:00:00,51.3,51,15,4.05
10094,2024-01-08 14:00:00,101.46,86,29,5.61
