RegionID,WeatherDate,TemperatureC,HumidityPct,WindSpeedKmph,SolarIrradiance
10023,2022-12-05,24.7,64,14.4,335.9
10211,2025-05-12,21.2,38,15.4,500.2
10014,2022-09-22,24.9,37,11.1,407.6
10169,2022-09-12,17.8,99,11.7,410.0
10091,2025-02-09,28.9,61,8.6,67.4
10157,2023-04-08,16.4,57,12.4,682.6
10061,2023-07-05,15.8,30,23.9,223.1
10164,2024-01-26,12.5,26,8.7,726.1
10023,2024-10-14,10.8,57,7.6,378.8
10052,2024-01-23,31.2,71,11.8,755.1
10209,2023-02-23,22.4,51,0.4,498.9
10008,2023-06-18,17.3,76,14.4,550.2
10119,2023-04-16,34.2,29,11.1,634.2
10148,2022-01-06,18.0,43,21.4,437.1
10087,2022-07-10,15.7,21,9.6,499.0
10157,2022-10-19,8.3,39,5.3,0.0
10016,2024-10-11,27.7,74,16.6,366.1
10215,2023-10-05,29.2,65,13.8,614.4
10168,2024-09-13,29.2,81,11.5,221.0
10071,2022-11-29,6.3,69,13.0,510.5
10175,2023-07-06,21.9,72,8.3,380.2
10189,2024-03-24,12.1,72,9.0,701.5
10194,2023-09-17,20.7,64,10.6,818.2
10149,2023-06-08,16.9,64,11.6,674.4
10170,2024-04-17,35.5,52,9.9,310.4
10033,2022-04-25,36.1,53,7.8,715.1
10109,2024-01-21,31.5,46,16.3,484.8
10037,2023-01-03,18.2,87,10.6,660.8
10118,2024-01-30,15.1,55,8.2,658.9
10096,2022-05-30,26.0,78,7.3,1058.4
10026,2024-09-17,20.3,68,3.0,445.5
10163,2023-12-02,29.2,91,6.3,357.3
10017,2025-09-18,35.1,24,6.5,423.9
10098,2024-07-12,23.7,29,10.5,918.6
10080,2023-08-06,13.1,73,11.8,418.6
10233,2023-05-07,24.6,60,1.1,431.2
10027,2024-03-05,8.8,56,8.8,757.7
10209,2022-09-06,22.0,50,14.2,0.0
10118,2022-01-18,19.7,49,4.5,388.5
10002,2023-12-24,28.7,54,8.8,339.4
10098,2023-08-04,34.2,41,7.8,203.2
10026,2022-07-31,34.4,46,10.4,539.8
10190,2023-03-23,17.5,26,12.5,255.3
10099,2023-06-02,12.1,78,5.5,644.6
10135,2024-07-01,18.7,73,8.3,772.3
10024,2025-01-09,21.5,28,5.5,739.5
10066,2024-07-27,13.4,60,10.3,214.2
10042,2022-10-01,30.2,14,14.8,638.5
10001,2024-03-03,17.5,64,5.8,659.1
10211,2024-10-05,6.6,55,8.3,397.1
10140,2025-04-02,5.9,53,20.4,525.2
10181,2024-04-18,13.6,48,12.2,457.9
10001,2022-07-15,30.1,39,11.6,677.4
10037,2024-10-28,42.8,76,2.1,418.5
10098,2025-09-24,16.9,40,0.2,536.0
10203,2025-03-26,20.2,64,6.8,195.6
10024,2023-02-10,18.3,36,22.3,409.0
10182,2023-08-08,25.7,55,3.9,213.3
10119,2024-06-19,23.6,27,7.8,550.8
10187,2023-04-04,7.1,66,10.2,766.2
10001,2022-05-20,23.6,80,8.1,387.7
10026,2023-07-26,25.9,34,18.3,605.1
10044,2025-05-28,37.8,41,15.1,512.2
10106,2023-04-29,42.3,43,17.9,118.2
10189,2023-01-13,26.2,55,16.3,187.7
10019,2023-01-07,18.4,43,6.7,380.6
10085,2025-05-24,14.3,32,7.6,870.8
10058,2022-08-05,35.1,39,11.7,474.5
10180,2024-07-23,23.2,96,3.0,352.8
10069,2023-05-28,34.9,55,5.1,674.3
10214,2024-10-02,15.6,14,2.4,698.7
10207,2022-08-16,30.9,30,14.6,319.5
10108,2025-03-28,17.3,56,8.9,609.8
10215,2022-12-14,9.9,100,6.6,560.7
10129,2024-10-17,24.6,56,10.8,88.8
10003,2025-05-17,22.4,75,14.1,346.7
10047,2022-05-31,34.5,53,14.5,480.6
10043,2025-04-15,34.5,34,6.6,626.6
10036,2023-05-28,21.4,35,9.4,608.1
10186,2022-10-20,26.8,47,13.3,796.7
10143,2022-10-26,22.4,49,20.1,535.1
10152,2022-05-31,10.3,24,9.9,589.2
